year,Price,kms_driven,fuel_type,Brand,Model
2016,549999.0,9000.0,Petrol,Hyundai,Elite i20
2012,130000.0,72000.0,Diesel,Tata,Manza Aura Quadrajet
2013,210000.0,60000.0,Petrol,Chevrolet,Sail UVA Petrol LT ABS
2012,501000.0,38000.0,Diesel,Renault,Duster 110 PS RxZ Diesel Plus
2013,401000.0,45000.0,Diesel,Hyundai,Verna Fluidic 1.6 VTVT SX
2012,1350000.0,40000.0,Diesel,Audi,A4 2.0 TDI 177bhp Premium
2013,600000.0,20000.0,Petrol,Hyundai,Elantra SX
2013,610000.0,35000.0,Diesel,Mahindra,Scorpio VLX 4WD Airbag
2016,400000.0,20000.0,Diesel,Mahindra,KUV100 K8 D 6 STR
2015,375000.0,25000.0,Diesel,Renault,Scala RxL Diesel Travelogue
2013,375000.0,20000.0,Diesel,Mahindra,Quanto C8
2014,365000.0,20000.0,Petrol,Hyundai,Grand i10 Sportz O 1.2 Kappa VTVT
2015,500000.0,18000.0,Petrol,Hyundai,i20 Active 1.2 SX
2012,400000.0,35000.0,Diesel,Mahindra,Xylo E4
2017,524999.0,6821.0,Petrol,Hyundai,Grand i10
2014,449999.0,23000.0,Petrol,Hyundai,i20
2014,174999.0,14000.0,Petrol,Hyundai,Eon
2012,244999.0,38000.0,Petrol,Hyundai,i10
2015,574999.0,35000.0,Diesel,Hyundai,i20 Active
2017,244999.0,22000.0,Petrol,Datsun,Redi GO
2011,239999.0,41000.0,Petrol,Toyota,Etios Liva
2010,99999.0,45000.0,Petrol,Hyundai,Accent
2014,489999.0,44000.0,Diesel,Hyundai,Verna
2013,324999.0,45000.0,Diesel,Maruti,Suzuki Swift
2011,1074999.0,52000.0,Diesel,Toyota,Fortuner
2012,230000.0,34000.0,Petrol,Hyundai,i10 Sportz
2018,699000.0,1800.0,Diesel,Mahindra,Bolero Power Plus SLE
2015,1000000.0,15000.0,Diesel,Mahindra,XUV500
2010,240000.0,400000.0,Petrol,Honda,City 1.5 V MT Exclusive
2009,110000.0,44000.0,Petrol,Chevrolet,Spark LT 1.0 Airbag
2019,390000.0,60.0,Diesel,Mahindra,Jeep MM 550 XDB
2012,501000.0,35000.0,Diesel,Renault,Duster 110PS Diesel RxZ
2016,1130000.0,72000.0,Diesel,Mahindra,XUV500
2014,250000.0,40000.0,Diesel,Tata,Indigo eCS VX CR4 BS IV
